,id,img,lable,text
9526,61928,hateful_memes/img/61928.png,0,because of this guy i have multiple profile disorder
2984,40217,hateful_memes/img/40217.png,0,"2 years on the job... 4 million jobs gained 1 month on the job... 25,000 jobs lost"
6247,76582,hateful_memes/img/76582.png,0,how my friends introduce me she's our friend and she's crazy!
9932,93245,hateful_memes/img/93245.png,0,when you tease your husband in public
7354,63418,hateful_memes/img/63418.png,0,damn! who am i gonna have to fuck to get this fixed
429,41728,hateful_memes/img/41728.png,0,i believe they are like racism. just shouldn't exist
3160,25914,hateful_memes/img/25914.png,1,what is the difference between an illegal immigrant and e.t.? e.t. learned to speak english and wanted to go home!
2236,19352,hateful_memes/img/19352.png,0,ain't nothing but a goat
10883,65927,hateful_memes/img/65927.png,1,"""my husband told me to make him a sandwich i need a good comeback i would not make a sandwich"""
4111,64320,hateful_memes/img/64320.png,1,i said glass of juice not gas the jews
9950,21698,hateful_memes/img/21698.png,0,here will soon be a painting of a beautiful quran
5859,85670,hateful_memes/img/85670.png,0,"if you think ms-13 gang members are human, but 20-week old fetuses aren't you might be a democrat"
3355,76489,hateful_memes/img/76489.png,0,been talking shit about trump since day one now crying like bitches after getting called out
1351,10748,hateful_memes/img/10748.png,1,can afford to travel from romania to london still picks your pocket
4115,83215,hateful_memes/img/83215.png,0,i've been here once they stole my stuff and claimed god gave it to them
2452,16380,hateful_memes/img/16380.png,0,felling cute might fuck a goat later. idk
8953,26018,hateful_memes/img/26018.png,0,all these flavors and you choose to be salty
4833,27304,hateful_memes/img/27304.png,0,what a cute little baby bacon
2534,14697,hateful_memes/img/14697.png,0,"everyone knows hitting appliances that stop working, sometimes fixes the problem"
4874,20745,hateful_memes/img/20745.png,1,oh look my new dishwasher arrived
10474,60732,hateful_memes/img/60732.png,1,i'm not saying shes a slag but she's seen more japseyes than an asian optician
11194,94210,hateful_memes/img/94210.png,1,our insurance
3883,58019,hateful_memes/img/58019.png,1,the difference between moderate muslim and radical muslim follow my allah or i kill you! moderate muslim follow my allah or he kill you radical muslim
5681,40239,hateful_memes/img/40239.png,0,now that the russia collusion myth is over are you ready for the counter punch?
7847,30819,hateful_memes/img/30819.png,0,for another year older you don't look so baaaaa'd
12215,35081,hateful_memes/img/35081.png,0,when you got a warrant out for your arrest & you on the run...
5817,71503,hateful_memes/img/71503.png,0,not only is donald trump my president..... but he's also barack obama and hillary clinton's president! don't you love it! :d
4233,35902,hateful_memes/img/35902.png,0,when all those shrugs from not knowing what to eat are starting to pay off
11265,58394,hateful_memes/img/58394.png,1,how white liberals treat minorities who don't vote democrat
5937,61204,hateful_memes/img/61204.png,1,greetings tranny time to die
8122,43206,hateful_memes/img/43206.png,1,mexicans are rapist i'm lovin' it happy hump day bitch
5577,50492,hateful_memes/img/50492.png,0,"you mad? yeah, you're mad"
6266,29608,hateful_memes/img/29608.png,0,when you're the gay friend and also the meme lord
5961,47250,hateful_memes/img/47250.png,0,the school shootings will continue until we take your gun rights away
10530,50739,hateful_memes/img/50739.png,1,whats the difference between a scout and a jew? the scout comes back from the camp
9694,47592,hateful_memes/img/47592.png,1,world history in one sentence. these white men are dangerous
5098,34972,hateful_memes/img/34972.png,1,my grandpas tractor never broke down
7233,36075,hateful_memes/img/36075.png,1,be happy you dont have neanderthal dna
967,34602,hateful_memes/img/34602.png,1,error
